type,name,shop,start,end,updated
1,ハロウィンEV,star_terminal,2024-10-28,2024-10-31,1731589524188
1,ハロウィンEV,black_ribbon_c,2024-10-31,2024-11-04,1731589503335
1,ハロウィンEV,castle_ribbon,2024-10-31,2024-11-04,1731589511546
1,ハロウィンEV,palace_ribbon,2024-10-31,2024-11-04,1731589512540
1,ハロウィンEV,orenomaid,2024-10-31,2024-11-04,1731589513154
1,ハロウィンEV,maisonzzhh,2024-11-01,2024-11-03,1731589516529
2,私服EV,petitplume12,2024-11-02,2024-11-03,1731589526718
1,ハロウィンEV,maisonzzhh,2024-11-02,2024-11-03,1731589527842
2,ナースEV,star_terminal,2024-11-13,2024-11-15,1731594132475
2,秋の私服EV,black_ribbon_c,2024-11-22,2024-11-24,1731594313321
3,ましろ生誕祭,orenomaid,2024-11-16,2024-11-16,1731594543387
4,ゲームEV,orenomaid,2024-11-30,2024-12-01,1731594587792
2,パジャマEV,petitplume12,2024-11-17,2024-11-17,1731762114741
2,学園祭EV,petitplume12,2024-11-24,2024-11-24,1731762121137
3,ゆめ生誕祭,maisonzzhh,2024-11-30,2024-11-30,1731762217593
2,私服EV,petitplume12,2024-12-07,2024-12-07,1733140285875
3,藍ちゃん生誕祭,star_terminal,2024-12-15,2024-12-15,1733140396770
2,ナースEV,black_ribbon_c,2024-12-06,2024-12-09,1733140665548
3,ありすちゃん生誕祭,orenomaid,2024-12-14,2024-12-14,1733141222721
5,クリスマスEV,orenomaid,2024-12-21,2024-12-24,1733141255906
4,お給仕納め3days,orenomaid,2024-12-28,2024-12-30,1733141271258
6,ちゃちゃ卒,castle_ribbon,2024-12-08,2024-12-08,1733141453952
2,冬の私服EV,castle_ribbon,2024-12-09,2024-12-09,1733141497903
3,ねこはる生誕祭,star_terminal,2024-12-21,2024-12-21,1734261988650
5,クリスマスEV,star_terminal,2024-12-19,2024-12-20,1734261962058
5,クリスマスEV,star_terminal,2024-12-22,2024-12-25,1734261967201
5,クリスマスEV,castle_ribbon,2024-12-21,2024-12-25,1734262050861
5,クリスマスEV,black_ribbon_c,2024-12-21,2024-12-25,1734262052005
5,クリスマスEV,palace_ribbon,2024-12-21,2024-12-25,1734262052609
2,チアEV,palace_ribbon,2025-01-17,2025-01-19,1736757068749
2,巫女服EV,star_terminal,2025-01-15,2025-01-17,1736757992340
2,巫女服EV,AB_ANGELBABY,2025-01-03,2025-01-05,1736758119367
2,新年EV,castle_ribbon,2025-01-01,2025-01-05,1736758174412
2,新年EV,black_ribbon_c,2025-01-01,2025-01-05,1736758174412
2,新年EV,palace_ribbon,2025-01-01,2025-01-05,1736758174412
2,メイドEV,black_ribbon_c,2025-01-17,2025-01-20,1737034958745
2,みんくすEV,maisonzzhh,2025-01-25,2025-01-25,1737034903069
3,さくらBDEV🌸,black_ribbon_c,2025-01-25,2025-01-25,1737034934610
3,らぁらちゃん生誕,palace_ribbon,2025-01-29,2025-01-29,1737035236225
2,バレンタインEV,black_ribbon_c,2025-02-14,2025-02-15,1738424325253
2,リボン系列3店舗制服シャッフル,black_ribbon_c,2025-02-11,2025-02-11,1738424353848
2,リボン系列3店舗制服シャッフル,castle_ribbon,2025-02-11,2025-02-11,1738424366587
2,リボン系列3店舗制服シャッフル,palace_ribbon,2025-02-11,2025-02-11,1738424369303
2,チャイナEV,orenomaid,2025-02-01,2025-02-02,1738424398347
2,バレンタインEV,palace_ribbon,2025-02-14,2025-02-15,1738424431580
2,バレンタインEV,orenomaid,2025-02-14,2025-02-15,1738424958312
4,ゲームEV,orenomaid,2025-02-22,2025-02-23,1738424977664
2,学校制服EV,orenomaid,2025-04-05,2025-04-06,1743427637799
3,累生誕祭,orenomaid,2025-04-12,2025-04-12,1743427641810
6,まどか卒,orenomaid,2025-04-26,2025-04-26,1743427647703
2,お花見イベント（私服）,palace_ribbon,2025-04-04,2025-04-07,1743428260921
2,園児イベント,black_ribbon_c,2025-04-11,2025-04-14,1743428265793
6,りあらちゃん卒業,castle_ribbon,2025-04-12,2025-04-12,1743428286286
3,よる生誕,star_terminal,2025-04-06,2025-04-06,1743428766579
2,GWイベント,palace_ribbon,2025-04-26,2025-04-30,1744556435259
6,ういちゃん卒イベ,palace_ribbon,2025-04-27,2025-04-27,1744556445753
3,りるちゃん生誕,castle_ribbon,2025-05-10,2025-05-10,1746368579041
2,フリコス,palace_ribbon,2025-05-06,2025-05-06,1746368594742
4,ゲームEV,orenomaid,2025-05-03,2025-05-06,1746368616632
3,黒崎えま生誕祭2025,orenomaid,2025-05-24,2025-05-24,1746368935609
2,ナースEV,palace_ribbon,2025-05-24,2025-05-25,1747316557367
2,チャイナEV,orenomaid,2025-06-14,2025-06-15,1749482755875
2,花嫁EV,orenomaid,2025-06-28,2025-06-29,1749482839226
2,フリコス,palace_ribbon,2025-06-07,2025-06-07,1749483143300
2,ウエディングEV,palace_ribbon,2025-06-14,2025-06-15,1749483146488
2,チャイナEV,aoco_osu,2025-06-07,2025-06-08,1749483904290
2,アイドル衣装EV,aoco_osu,2025-06-21,2025-06-22,1750348805396
6,みりあさん卒業,aoco_osu,2025-06-28,2025-06-28,1750348825686
2,浴衣EV,palace_ribbon,2025-07-07,2025-07-07,1751287544715
3,ゆね生誕祭,orenomaid,2025-07-12,2025-07-12,1751287701680
2,フリコスEV,orenomaid,2025-07-19,2025-07-21,1751287706136
3,そちゃ＆基次郎合同お誕生日会,orenomaid,2025-08-02,2025-08-02,1751975948380
2,私服EV,palace_ribbon,2025-07-05,2025-07-06,1751976151737
3,わかば生誕イベント,aoco_osu,2025-08-03,2025-08-03,1751976212009
3,もゆ1周年イベント,palace_ribbon,2025-08-31,2025-08-31,1751976312951
6,ねねこ卒業,aoco_osu,2025-07-26,2025-07-26,1751976346062
3,こはるちゃん生誕イベント,aoco_osu,2025-07-19,2025-07-19,1752678533340
2,パジャマEV,palace_ribbon,2025-07-19,2025-07-20,1752678660394
3,もえの生誕,palace_ribbon,2025-10-12,2025-10-12,1753794621199
2,マリームーンEV,palace_ribbon,2025-08-13,2025-08-15,1753794774244
2,浴衣EV,palace_ribbon,2025-08-16,2025-08-17,1753794780779
2,学生服EV,palace_ribbon,2025-08-23,2025-08-24,1753794783745
2,大正ロマンEV,orenomaid,2025-08-16,2025-08-17,1753892647195
3,わかばさんBDEV,aoco_osu,2025-08-03,2025-08-03,1753892691345
2,CCcafeさん制服交換,aoco_osu,2025-08-08,2025-08-10,1753892707854
2,浴衣EV,aoco_osu,2025-08-23,2025-08-24,1755178183224
2,フリコスEV,palace_ribbon,2025-09-06,2025-09-07,1756464270755
6,ゆのもゆ ラスト出勤,palace_ribbon,2025-09-21,2025-09-21,1756464321352
3,てんちゃんBD,aoco_osu,2025-09-06,2025-09-06,1756538217044
3,くれはさんBD,aoco_osu,2025-09-14,2025-09-14,1756538221794
3,おれめい2周年記念,orenomaid,2025-09-01,2025-09-07,1756538483279
3,みお＆つゆお誕生日会,orenomaid,2025-09-13,2025-09-13,1756538503500
3,つなちゃんバースデーev,maisonzzhh,2025-09-13,2025-09-13,1756806201060
6,ぴあの卒業,palace_ribbon,2025-09-20,2025-09-20,1757750635182
